Time,Tariff Rate (₹/kWh),TOU Rate Category
2024-07-01 00:03:00,3.0,Low
2024-07-01 00:07:00,3.0,Low
2024-07-01 00:13:00,3.0,Low
2024-07-01 00:19:00,3.0,Low
2024-07-01 00:24:00,3.0,Low
2024-07-01 00:30:00,3.0,Low
2024-07-01 00:35:00,3.0,Low
2024-07-01 00:40:00,3.0,Low
2024-07-01 00:46:00,3.0,Low
2024-07-01 00:51:00,3.0,Low
2024-07-01 00:56:00,3.0,Low
2024-07-01 01:01:00,3.0,Low
2024-07-01 01:07:00,3.0,Low
2024-07-01 01:12:00,3.0,Low
2024-07-01 01:17:00,3.0,Low
2024-07-01 01:23:00,3.0,Low
2024-07-01 01:28:00,3.0,Low
2024-07-01 01:33:00,3.0,Low
2024-07-01 01:39:00,3.0,Low
2024-07-01 01:44:00,3.0,Low
2024-07-01 01:49:00,3.0,Low
2024-07-01 01:54:00,3.0,Low
2024-07-01 01:59:00,3.0,Low
2024-07-01 02:05:00,3.0,Low
2024-07-01 02:10:00,3.0,Low
2024-07-01 02:15:00,3.0,Low
2024-07-01 02:20:00,3.0,Low
2024-07-01 02:26:00,3.0,Low
2024-07-01 02:31:00,3.0,Low
2024-07-01 02:36:00,3.0,Low
2024-07-01 02:42:00,3.0,Low
2024-07-01 02:48:00,3.0,Low
2024-07-01 02:52:00,3.0,Low
2024-07-01 02:57:00,3.0,Low
2024-07-01 03:03:00,3.0,Low
2024-07-01 03:08:00,3.0,Low
2024-07-01 03:13:00,3.0,Low
2024-07-01 03:19:00,3.0,Low
2024-07-01 03:26:00,3.0,Low
2024-07-01 03:30:00,3.0,Low
2024-07-01 03:35:00,3.0,Low
2024-07-01 03:40:00,3.0,Low
2024-07-01 03:45:00,3.0,Low
2024-07-01 03:51:00,3.0,Low
2024-07-01 03:56:00,3.0,Low
2024-07-01 04:01:00,3.0,Low
2024-07-01 04:06:00,3.0,Low
2024-07-01 04:11:00,3.0,Low
2024-07-01 04:16:00,3.0,Low
2024-07-01 04:23:00,3.0,Low
2024-07-01 04:28:00,3.0,Low
2024-07-01 04:33:00,3.0,Low
2024-07-01 04:39:00,3.0,Low
2024-07-01 04:44:00,3.0,Low
2024-07-01 04:49:00,3.0,Low
2024-07-01 04:54:00,3.0,Low
2024-07-01 05:00:00,3.0,Low
2024-07-01 05:05:00,3.0,Low
2024-07-01 05:10:00,3.0,Low
2024-07-01 05:16:00,3.0,Low
2024-07-01 05:21:00,3.0,Low
2024-07-01 05:27:00,3.0,Low
2024-07-01 05:32:00,3.0,Low
2024-07-01 05:38:00,3.0,Low
2024-07-01 05:43:00,3.0,Low
2024-07-01 05:48:00,3.0,Low
2024-07-01 05:54:00,3.0,Low
2024-07-01 05:56:00,3.0,Low
2024-07-01 05:58:00,3.0,Low
2024-07-01 05:59:00,3.0,Low
2024-07-01 06:01:00,3.0,Low
2024-07-01 06:04:00,3.0,Low
2024-07-01 06:05:00,3.0,Low
2024-07-01 06:06:00,3.0,Low
2024-07-01 06:12:00,3.0,Low
2024-07-01 06:15:00,3.0,Low
2024-07-01 06:18:00,3.0,Low
2024-07-01 06:19:00,3.0,Low
2024-07-01 06:20:00,3.0,Low
2024-07-01 06:22:00,3.0,Low
2024-07-01 06:25:00,3.0,Low
2024-07-01 06:27:00,3.0,Low
2024-07-01 06:28:00,3.0,Low
2024-07-01 06:29:00,3.0,Low
2024-07-01 06:31:00,3.0,Low
2024-07-01 06:32:00,3.0,Low
2024-07-01 06:33:00,3.0,Low
2024-07-01 06:37:00,3.0,Low
2024-07-01 06:38:00,3.0,Low
2024-07-01 06:39:00,3.0,Low
2024-07-01 06:42:00,3.0,Low
2024-07-01 06:44:00,3.0,Low
2024-07-01 06:46:00,3.0,Low
2024-07-01 06:48:00,3.0,Low
2024-07-01 06:50:00,3.0,Low
2024-07-01 06:51:00,3.0,Low
2024-07-01 06:54:00,3.0,Low
2024-07-01 06:55:00,3.0,Low
2024-07-01 06:56:00,3.0,Low
2024-07-01 07:00:00,5.0,Moderate
2024-07-01 07:01:00,5.0,Moderate
2024-07-01 07:02:00,5.0,Moderate
2024-07-01 07:03:00,5.0,Moderate
2024-07-01 07:05:00,5.0,Moderate
2024-07-01 07:09:00,5.0,Moderate
2024-07-01 07:10:00,5.0,Moderate
2024-07-01 07:11:00,5.0,Moderate
2024-07-01 07:14:00,5.0,Moderate
2024-07-01 07:15:00,5.0,Moderate
2024-07-01 07:17:00,5.0,Moderate
2024-07-01 07:18:00,5.0,Moderate
2024-07-01 07:19:00,5.0,Moderate
2024-07-01 07:23:00,5.0,Moderate
2024-07-01 07:25:00,5.0,Moderate
2024-07-01 07:26:00,5.0,Moderate
2024-07-01 07:27:00,5.0,Moderate
2024-07-01 07:28:00,5.0,Moderate
2024-07-01 07:32:00,5.0,Moderate
2024-07-01 07:33:00,5.0,Moderate
2024-07-01 07:35:00,5.0,Moderate
2024-07-01 07:36:00,5.0,Moderate
2024-07-01 07:38:00,5.0,Moderate
2024-07-01 07:39:00,5.0,Moderate
2024-07-01 07:41:00,5.0,Moderate
2024-07-01 07:43:00,5.0,Moderate
2024-07-01 07:45:00,5.0,Moderate
2024-07-01 07:46:00,5.0,Moderate
2024-07-01 07:49:00,5.0,Moderate
2024-07-01 07:51:00,5.0,Moderate
2024-07-01 07:52:00,5.0,Moderate
